gene	count	percentage
kirre	35	1.0
SCAR	35	1.0
sns	35	1.0
Rho1	35	1.0
Arp3	35	1.0
Crk	35	1.0
Arf79F	35	1.0
hbs	35	1.0
Rok	35	1.0
siz	35	1.0
dock	35	1.0
mbc	35	1.0
Rac1	35	1.0
Pak	35	1.0
Arpc1	35	1.0
Vrp1	35	1.0
Hem	35	1.0
Pak3	35	1.0
Whamy	35	1.0
drk	35	1.0
Ced-12	35	1.0
rols	35	1.0
sls	35	1.0
Rac2	35	1.0
blow	35	1.0
rst	35	1.0
Arf51F	35	1.0
dia	35	1.0
WASp	35	1.0
alpha-Spec	34	0.9714
Rab11	34	0.9714
pip	34	0.9714
sqh	34	0.9714
beta-Spec	34	0.9714
