RunID	# of Nodes	Receptor Nodes	Prize Nodes
2G7DE5P	39	0	34
2UVZMNM	39	0	34
3226LAN	35	0	34
3MLO245	35	0	34
43CVNIQ	39	0	34
4IDP4MD	35	0	34
4OY4QWJ	35	0	34
6LPF5ZK	35	0	34
75B6ZHQ	35	0	34
7PT26W3	35	0	34
ABUNWLW	35	0	34
C7IOBLY	35	0	34
COY4S7Z	39	0	34
EJ7I7LG	35	0	34
EPINYMF	35	0	34
EQKVL5E	35	0	34
FPMQMS3	35	0	34
GQCBBEN	35	0	34
GVVRANW	35	0	34
I7265XU	35	0	34
JS4BVYD	35	0	34
LUUXMCO	35	0	34
N62G3CB	35	0	34
NXEQMUS	35	0	34
P6QXY5R	35	0	34
PKZ5WR2	39	0	34
PY53EE3	35	0	34
QO5VGM3	35	0	34
R43SKFX	35	0	34
TRTIWFS	30	0	29
U6RSVPB	35	0	34
WH7G5LZ	35	0	34
WVZEES3	35	0	34
ZCSKWDB	35	0	34
ZUDLLAL	39	0	34
