RunID	# of Nodes	# of Edges	Receptor Nodes	Source Nodes(Total: 34)	Target Nodes(Total: 8)	Params
RI4ZZQP	379	1548	7	18	6	k: 3000	
GOVT3LH	324	1180	6	18	6	k: 2000	
XDSAJ7S	286	967	5	18	6	k: 1500	
6SWY7JS	97	215	4	15	5	k: 200	
JIEATSK	185	555	4	15	5	k: 700	
SGNL2YG	163	456	4	15	5	k: 500	
TFORORH	223	711	4	16	5	k: 1000	
GSFPBXW	42	73	3	12	2	k: 50	
VQL7BDZ	65	126	3	12	3	k: 100	
JCJI3OZ	33	50	2	11	2	k: 30	
