Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
FlyBase/flybase-omicsintegrator1-params-J4XIQ4K/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-JTPPKJR/pathway.txt	36	35	1	33
FlyBase/flybase-omicsintegrator1-params-JZL4TW5/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-K2R3ZGD/pathway.txt	36	35	1	33
FlyBase/flybase-omicsintegrator1-params-KDYFEIM/pathway.txt	38	37	1	34
FlyBase/flybase-omicsintegrator1-params-KGK5FHC/pathway.txt	40	39	1	34
FlyBase/flybase-omicsintegrator1-params-KLQ6OEV/pathway.txt	38	37	1	33
FlyBase/flybase-omicsintegrator1-params-KMT5WTQ/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-KODELRP/pathway.txt	36	35	1	33
FlyBase/flybase-omicsintegrator1-params-KTMV6FO/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-KYBHK3T/pathway.txt	47	46	1	34
FlyBase/flybase-omicsintegrator1-params-L6NTD3J/pathway.txt	45	44	1	34
FlyBase/flybase-omicsintegrator1-params-LBRU3LL/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-LEAAOXQ/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-LPS3QBW/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-LSY55OW/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-LT62NAM/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-LWSA2JC/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-M2F6YQ4/pathway.txt	40	39	1	34
FlyBase/flybase-omicsintegrator1-params-MLSEIZQ/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-MMK75GE/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-MRWNFHK/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-MVNAPPE/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-MZVQZ4R/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-NUIWPQ4/pathway.txt	38	37	1	33
FlyBase/flybase-omicsintegrator1-params-NWG6TZW/pathway.txt	33	32	1	33
FlyBase/flybase-omicsintegrator1-params-NYSTX7Y/pathway.txt	43	42	1	34
FlyBase/flybase-omicsintegrator1-params-NZKPAQA/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-O2AJRAG/pathway.txt	40	39	1	34
FlyBase/flybase-omicsintegrator1-params-O6WCQPR/pathway.txt	33	32	1	33
FlyBase/flybase-omicsintegrator1-params-OBS25RE/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-ODSZNYR/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-OK7GSDW/pathway.txt	47	46	1	34
FlyBase/flybase-omicsintegrator1-params-OQZNVD6/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-OTABBEH/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-OYADCS6/pathway.txt	38	37	1	33
FlyBase/flybase-omicsintegrator1-params-OZSP533/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-P7PTP3O/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-PDPDFMI/pathway.txt	40	39	1	34
FlyBase/flybase-omicsintegrator1-params-PHDC5H4/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-PMYXKXD/pathway.txt	36	35	1	33
FlyBase/flybase-omicsintegrator1-params-PTWMZG2/pathway.txt	37	36	1	34
FlyBase/flybase-omicsintegrator1-params-Q542CWB/pathway.txt	36	35	1	33
FlyBase/flybase-omicsintegrator1-params-QH4V6SA/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-QKUBSAV/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-QOOTWWF/pathway.txt	37	36	1	34
FlyBase/flybase-omicsintegrator1-params-QSYNOJD/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-QWEEK24/pathway.txt	47	46	1	34
FlyBase/flybase-omicsintegrator1-params-REQ5TZS/pathway.txt	23	22	1	22
FlyBase/flybase-omicsintegrator1-params-RFWAUY7/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-RKME56I/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-SAUNFEZ/pathway.txt	43	42	1	34
FlyBase/flybase-omicsintegrator1-params-SVTXP3B/pathway.txt	11	10	1	11
FlyBase/flybase-omicsintegrator1-params-T5BRRXK/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-T6TUPED/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-TDH4KGD/pathway.txt	38	37	1	34
FlyBase/flybase-omicsintegrator1-params-TNB5AS6/pathway.txt	43	42	1	34
FlyBase/flybase-omicsintegrator1-params-TQXIVBM/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-TT5KJ4D/pathway.txt	40	39	1	34
FlyBase/flybase-omicsintegrator1-params-TXI25T6/pathway.txt	0	0	0	0
FlyBase/flybase-omicsintegrator1-params-TYPZ4KB/pathway.txt	45	44	1	34
FlyBase/flybase-omicsintegrator1-params-UQO2OCB/pathway.txt	23	22	1	22
FlyBase/flybase-omicsintegrator1-params-URNDLIB/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-UV6PBIS/pathway.txt	35	34	1	34
